onset	duration	angle	correct	rt
4	1	292.5	1	375
8	1	22.5	1	357
12	1	292.5	1	314
16	1	157.5	0	345
20	1	337.5	1	538
24	1	67.5	1	471
28	1	67.5	1	525
32	1	202.5	0	692
36	1	22.5	1	542
40	1	202.5	1	491
44	1	292.5	0	336
48	1	112.5	1	665
52	1	292.5	1	321
56	1	67.5	1	414
60	1	202.5	1	482
64	1	157.5	1	454
68	1	337.5	0	552
72	1	112.5	1	454
76	1	337.5	1	583
80	1	247.5	1	576
84	1	247.5	1	319
88	1	247.5	1	348
92	1	202.5	1	529
96	1	67.5	1	696
100	1	337.5	1	567
104	1	337.5	1	326
108	1	22.5	1	393
112	1	247.5	0	618
116	1	22.5	1	602
120	1	247.5	1	444
124	1	112.5	1	520
128	1	202.5	1	506
132	1	337.5	1	486
136	1	337.5	1	545
140	1	157.5	1	637
144	1	157.5	1	360
148	1	67.5	1	619
152	1	157.5	1	451
156	1	67.5	1	567
160	1	337.5	0	346
164	1	22.5	1	327
168	1	247.5	1	609
172	1	202.5	1	561
176	1	112.5	1	454
180	1	292.5	1	453
184	1	22.5	1	668
188	1	247.5	1	482
192	1	157.5	1	653
196	1	292.5	1	607
200	1	157.5	1	482
204	1	67.5	1	541
208	1	157.5	1	498
212	1	112.5	0	323
216	1	202.5	1	606
220	1	22.5	1	446
224	1	292.5	1	646
228	1	67.5	1	570
232	1	202.5	0	601
236	1	202.5	1	360
240	1	292.5	0	541
244	1	22.5	1	475
248	1	67.5	0	503
252	1	292.5	1	310
256	1	247.5	1	470
260	1	157.5	1	327
264	1	22.5	1	447
268	1	247.5	1	360
272	1	247.5	1	614
276	1	67.5	1	353
280	1	112.5	1	635
284	1	247.5	0	692
288	1	112.5	1	592
292	1	112.5	1	377
296	1	22.5	1	362
300	1	337.5	1	455
304	1	337.5	1	627
308	1	337.5	1	398
312	1	202.5	1	641
316	1	22.5	0	637
320	1	202.5	1	628
324	1	247.5	1	681
328	1	157.5	1	530
332	1	112.5	1	367
336	1	22.5	1	524
340	1	292.5	1	367
344	1	202.5	1	585
348	1	337.5	0	695
352	1	157.5	0	513
356	1	112.5	1	659
360	1	67.5	1	557
364	1	67.5	1	326
368	1	112.5	1	494
372	1	292.5	1	655
376	1	157.5	1	320
380	1	112.5	1	312
384	1	292.5	1	545
